Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16349947535.230396,112778287.31805012,2419001.727687977,25490664572.771553,0.0,0.0,26705790043.44185,169553434443.01617 
February,16425823625.697403,227978449.72874781,4835658.365736445,22674865502.457767,0.0,0.0,24085924444.26316,165987917364.5041 
March,10564007052.210093,261980698.166174,471003.6639735744,25731013342.71784,0.0,0.0,25867711612.808605,131833999568.29317 
April,5081176503.230603,548395942.092963,0.0,25611569229.411793,0.0,0.0,24605997962.803432,92044507592.12222 
May,998556831.1734047,2222760266.8232784,0.0,26961012423.74116,0.0,0.0,27172138259.515038,67607577788.913994 
June,19107974.14667937,4130686464.6274824,0.0,27210502982.32009,0.0,0.0,30658172224.32025,57513816645.16714 
July,10322.662274275717,6313950248.1236925,0.0,29000498179.31299,0.0,0.0,37305095315.251816,57650904898.0313 
August,44502.17375009742,5488551149.227651,0.0,29040910782.71982,0.0,0.0,34487046122.2207,57401250334.63598 
September,278453535.96007943,3793566960.5077157,0.0,27682392918.129677,0.0,0.0,29321859511.972992,58926790745.15065 
October,2334443369.1206417,1610014068.7059305,0.0,28246435656.55558,0.0,0.0,26723728761.523037,75645134214.19489 
November,7661913404.763572,231742251.21195996,868325.3167543561,26797809486.174374,0.0,0.0,25281614624.29892,106850586696.32463 
December,14320782696.045242,172922295.1952982,3247446.7440224644,26281110995.559284,0.0,0.0,26627034782.21495,154487038234.67935 
