Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,8733460176.449688,434312578.263204,3061993523.239138,284786083.06371486,3779075812.133544,220309704.36958352,3888955136.877865,213548292.74973541,3995738854.1330695,188023824.2463416,7726371069.333046,334686916.65122354,4097899629.446698,169061727.3474695,4134592707.590615,163218600.04385027,4484666353.737165,123535716.32292815,8192288687.15725,8875054.975842705,75529468082.14908,89953286290.59415 
February,8714330238.05216,281528498.296474,3048322011.805678,215423566.76380557,3753820358.9468303,158304255.91812462,3857082127.205336,156474545.82447442,3961835637.0239677,133704540.22611623,7624804520.80907,241295044.30055192,4061551275.4481473,121695566.17140539,4087088578.9124312,116397442.83900668,4387333950.789838,78170244.12570076,7973036682.634015,595130.7731554556,67958426038.0056,90013592351.42348 
March,4908169188.403136,1518246953.1394458,1467280826.8713517,845014832.0341003,1859610113.6214998,702526509.6858428,1969789733.3276849,677627660.7965053,2033434807.8547034,634305655.0175731,3987857866.6417627,1193815393.7313278,2114431663.14512,584921545.2800615,2158153946.7768574,564093829.1294571,2416558306.226406,478724558.5670898,5175957300.430142,196673615.43457848,74148453458.664,48435943355.58639 
April,1090119596.8021634,2674238297.6626215,139601804.68196505,1462152282.4282186,226209240.40523815,1073502500.6918741,287249806.63767886,1032600757.7237355,341552494.6244716,981981820.1292319,739428190.5369797,1842353889.9408405,389777212.6545651,878094671.2498829,443007150.4153976,844694293.5761688,571976676.3654165,728021105.5873053,2036364393.8922079,430806158.62102705,69395755279.34906,10544075888.214949 
May,55210862.50319596,6465682528.639886,27353892.712463133,3813267671.4556975,27072072.126290243,2928548351.0458274,27175541.450538848,2867736288.908917,27632293.183860704,2768446290.8200245,50674902.43710344,5161061510.744825,27723842.249307647,2604303515.532752,27923007.033343926,2506308890.834492,29849271.168365773,2205330416.028899,206080239.5796229,1689117687.504803,76346435214.44699,227065599.4286086 
June,24588548.002638437,10561759062.509874,7272469.339017915,5727220033.256764,6926453.628435273,4688873754.465859,8158513.852961661,4634791614.682939,9392391.694955397,4545810707.571035,19079917.838530347,8547457576.184008,10463067.996725742,4403526292.4140625,11217614.518048791,4335379062.174753,14392840.534097401,4109657041.964027,21540447.780770697,3742259051.59129,85181415560.46318,0.0 
July,8946966.538725479,14057570702.631763,5437073.162793425,7233318554.342609,4337985.285335118,6024446237.89419,3966151.9578404804,5963256607.913645,4032379.4403566513,5867763347.301888,8290984.889596071,11064127541.85813,4320091.106074164,5720221417.460669,3913976.235034168,5669722364.541036,5235536.158553319,5511164113.399637,9437498.805840397,5471408888.200366,98375620328.52914,0.0 
August,11747852.322829913,13212060301.267378,7369888.35097719,6889059798.3870535,4334004.364834507,5770412924.889514,4239192.572923471,5726985164.607978,4912313.127151218,5620822961.59887,11248460.51437789,10627095935.681976,5980603.942030702,5482877588.675417,5846826.747872783,5429853526.015775,6550281.571517745,5284705426.291115,13604791.273514617,5221160341.857368,95815664242.95233,0.0 
September,26360765.804021653,9635636905.299267,12610422.40594449,5194116936.904565,10389447.634547733,4105002113.9414673,10800517.699984996,4049155266.8248057,11367457.8403926,3954495701.128305,24183107.73590382,7437285554.818878,12942326.350274721,3816092748.320039,13563403.647030212,3752065857.751596,16684588.32622302,3558673134.7793865,23654478.53903509,3276036872.9470706,81853018203.73073,849415.9439290868 
October,156832770.09350842,5490262768.226514,28110933.4370671,3048781739.1437044,40040173.88216629,2257202041.6607313,54108287.63454807,2201011007.175347,66500737.554063,2126942729.5681348,143726215.78947955,3934514411.3460793,77677593.23638617,1975740218.727242,85405131.78627369,1906063476.3196993,111571606.11938855,1723163694.6209714,455577761.72026014,1391058051.8642564,75662300412.60606,1492662606.7171552 
