Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,19571791559.020264,9605245.849872591,3116883.6516993307,19207031075.340046,0.0,0.0,20999114901.980694,159329914811.56778 
February,19107010127.217354,14738717.972881524,1873770.7463759193,17009573992.148691,0.0,0.0,18898297037.253914,155633720959.70972 
March,13747075121.58777,79789655.81098215,2391818.769950483,19504416677.328136,0.0,0.0,20346546814.11078,127748814582.98381 
April,7880177853.100783,152685857.38997734,426951.59402736265,19649619031.234547,0.0,0.0,19383592537.04297,93860394203.58955 
May,2479587746.681089,943884175.396869,0.0,21014202059.445637,0.0,0.0,21228200046.95784,70611996637.02663 
June,246463787.59236035,2090013938.0361395,0.0,21461643033.450043,0.0,0.0,23559940800.904053,58682379949.18476 
July,8195152.0531376535,3772539888.073178,0.0,23189258249.19877,0.0,0.0,28518473758.563232,57815315485.21748 
August,16013916.3785056,3200140614.5907187,0.0,23101132655.439907,0.0,0.0,26351295941.339527,57789525784.15194 
September,957166204.6642113,1974354379.3146963,0.0,21949438783.617733,0.0,0.0,22706493567.539722,61057190172.68086 
October,4462338004.5937,658212736.0448083,0.0,22203553459.646633,0.0,0.0,21048656347.922962,78692996263.90468 
November,10767837362.265215,52859894.72639812,911051.3476931322,20744424512.493385,0.0,0.0,19983128100.3987,106472630112.3605 
December,17517997025.6768,19570552.14427257,2649715.2885191846,19957732827.264168,0.0,0.0,20985716329.04929,147140136344.98352 
