Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,25239949822.90468,213115039.3872332,12861274.033462087,17350831508.360874,0.0,0.0,23274026561.053368,240683750689.977 
February,20095677484.969124,200126367.05268022,7388473.437101646,16640930824.255453,0.0,0.0,20474384465.33596,189252279055.8016 
March,18477180768.296093,268792985.91225237,2877782.4319158616,19585058224.50796,0.0,0.0,21945303547.35104,170874623852.41815 
April,10105995321.542223,134183377.1330785,2022488.022977265,20078651687.480587,0.0,0.0,20363731642.872437,116509450175.49466 
May,3415105592.633904,741159937.5430802,712602.9711117857,21474536871.100937,0.0,0.0,21107314933.563812,76977604059.85675 
June,517928847.7183695,1771767294.8385322,0.0,21787143461.00859,0.0,0.0,21827433694.839817,60657493169.95109 
July,229683545.24077472,3247775451.448642,0.0,23314837578.337547,0.0,0.0,25627002962.670177,59504079222.2311 
August,306497141.3803518,3020176017.432054,0.0,23593277893.84006,0.0,0.0,25227093852.174595,60545470058.88127 
September,2574311965.7757506,1110585921.4533207,0.0,22431772262.193295,0.0,0.0,21482416199.791668,70235147261.86392 
October,8194264039.193142,273918209.76918215,2098423.2383867395,22666747858.405457,0.0,0.0,21475227298.319717,101600866026.61026 
November,15723549810.2485,63430267.97195954,3560116.2046079924,20395590060.751053,0.0,0.0,21514100434.76973,144991986335.65152 
December,23814481226.775772,290730663.50426805,3771047.9518176387,18867410550.3426,0.0,0.0,23135012222.17437,213720085388.72662 
