Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 08/10  03:00:00,,,21895345.40992709,13466865.855553377,21895345.40992709,3148122.4453567383 
 08/10  04:00:00,,,21817605.661830273,13841406.288599579,21817605.66183027,2341522.3781616967 
 08/10  05:00:00,,,26684849.82764888,15532824.250617735,26684849.82764888,5711389.1302415095 
 08/10  06:00:00,,,25067684.332203697,16501687.839925084,25067684.332203694,5287811.514810708 
 08/10  07:00:00,,,24910651.19871967,16407055.505720034,24910651.198719665,5235155.218844844 
 08/10  08:00:00,,,28560704.424307954,17576940.72395271,28560704.424307946,7580177.106301112 
 08/10  09:00:00,,,32585398.360226948,17952927.812822875,32585398.36022694,11214243.079366937 
 08/10  10:00:00,,,37302657.87956154,19770465.657027278,37302657.879561536,14112836.084231533 
 08/10  11:00:00,,,46741769.23317494,23835690.917326003,46741769.23317494,19220025.315153316 
 08/10  12:00:00,,,43692230.617045745,19895794.68665066,43692230.61704575,19818150.45048845 
 08/10  13:00:00,,,45009457.12136487,19645136.627403885,45009457.12136486,21939038.483518884 
 08/10  14:00:00,,,46891276.42445996,19394478.56815711,46891276.42445996,24054775.07718263 
 08/10  15:00:00,,,45377708.38459323,19394478.56815711,45377708.384593226,22557618.20900803 
 08/10  16:00:00,,,45737536.301635444,19770465.657027278,45737536.301635444,22661347.33995776 
 08/10  17:00:00,,,46379033.03929746,19770465.657027278,46379033.039297454,23297949.216305196 
 08/10  18:00:00,,,45579133.297160864,19519807.5977805,45579133.29716086,22746586.218700696 
 08/10  19:00:00,,,42439106.64680458,19269149.53853372,42439106.64680457,19458721.171994336 
 08/10  20:00:00,,,41746152.883516066,20435811.549194563,41746152.88351606,15151754.72516419 
 08/10  21:00:00,,,42677705.86495831,20855821.832743157,42677705.86495831,13419211.115093013 
 08/10  22:00:00,,,36777764.96215871,17212042.09661141,36777764.96215871,11492805.486893972 
 08/10  23:00:00,,,37226053.81156644,18891396.855539024,37226053.81156644,9810151.201203408 
 08/10  24:00:00,,,27282338.964414958,14305669.29334745,27282338.964414958,6583739.6322146 
 08/11  01:00:00,,,23481429.77681619,13585617.517379161,23481429.77681619,4669133.0245898245 
 08/11  02:00:00,,,22791686.446563527,13591712.666568777,22791686.446563527,3977824.0437042126 
 08/11  03:00:00,,,24429042.995321736,13466865.855553377,24429042.995321736,5693141.6956933895 
 08/11  04:00:00,,,28314338.442821994,13841406.288599579,28314338.442821987,7211026.878421538 
 08/11  05:00:00,,,31774961.26382231,15532824.250617735,31774961.26382231,9262713.401172634 
 08/11  06:00:00,,,29265186.87957664,16494033.771449704,29265186.879576635,8619428.880971953 
 08/11  07:00:00,,,30425636.36114905,16407055.505720034,30425636.36114905,10620617.848472469 
 08/11  08:00:00,,,35101212.90688593,17576940.72395271,35101212.90688592,14106143.959424688 
 08/11  09:00:00,,,39802795.597541824,17952927.812822875,39802795.597541824,18417148.681885682 
 08/11  10:00:00,,,46866971.84760063,19770465.657027278,46866971.847600624,23654946.14536173 
 08/11  11:00:00,,,60706621.8709926,23835690.917326003,60706621.8709926,33161970.20139027 
 08/11  12:00:00,,,59737634.223697916,19895794.68665066,59737634.223697916,35821710.181776404 
 08/11  13:00:00,,,58647919.08832526,19645136.627403885,58647919.08832526,35545761.6527303 
 08/11  14:00:00,,,57518131.20739829,19394478.56815711,57518131.20739829,34654421.323961236 
 08/11  15:00:00,,,54362893.063954346,19394478.56815711,54362893.063954346,31517855.082555156 
 08/11  16:00:00,,,51923400.67435642,19770465.657027278,51923400.67435642,28811292.23526109 
 08/11  17:00:00,,,47111101.67496015,19770465.657027278,47111101.67496015,23992745.33844509 
 08/11  18:00:00,,,43995916.6791286,19519807.5977805,43995916.679128595,21131907.464095272 
 08/11  19:00:00,,,40705437.405737996,19945562.65781991,40705437.405737996,17421870.75183297 
 08/11  20:00:00,,,43896454.74487988,20854921.007026654,43896454.74487988,17236630.29271218 
 08/11  21:00:00,,,46136055.68942492,20855821.832743157,46136055.68942491,17150537.395326626 
 08/11  22:00:00,,,40822916.87366527,17212042.09661141,40822916.87366527,15516145.607303064 
 08/11  23:00:00,,,41949433.166426316,18891396.855539024,41949433.166426316,14500076.914220087 
 08/11  24:00:00,,,31885421.068448104,14635816.41873014,31885421.068448104,10819265.551663319 
 08/12  01:00:00,,,27493857.402287196,13585617.517379161,27493857.402287196,8653950.977643022 
 08/12  02:00:00,,,25469653.63447036,13591712.666568777,25469653.634470362,6620082.908132845 
 08/12  03:00:00,,,25743860.714885414,13466865.855553377,25743860.714885414,6963010.1641687 
 08/12  04:00:00,,,26257782.883638907,13841406.288599579,26257782.883638907,6744644.274464584 
 08/12  05:00:00,,,27753957.36795656,14715333.96570738,27753957.36795656,7376142.791993753 
 08/12  06:00:00,,,25830622.40624576,15878558.748213163,25830622.406245753,6438124.130170818 
 08/12  07:00:00,,,27621857.58973156,16010102.42615256,27621857.58973155,8218875.383298352 
 08/12  08:00:00,,,29892567.374878373,17576940.72395271,29892567.37487837,8897714.742974628 
 08/12  09:00:00,,,30515148.62638086,17952927.812822875,30515148.62638086,9127695.269822584 
 08/12  10:00:00,,,31995523.266534507,19373512.57745981,31995523.266534507,9187385.137270946 
 08/12  11:00:00,,,40307052.44953609,23438737.837758545,40307052.44953609,13170533.479349153 
 08/12  12:00:00,,,37225955.7549785,19498841.607083198,37225955.7549785,13751731.786311336 
 08/12  13:00:00,,,36367720.04745138,19248183.547836423,36367720.04745138,13695750.987966329 
 08/12  14:00:00,,,36656526.96121793,18997525.48858965,36656526.96121793,14223298.98495791 
 08/12  15:00:00,,,34931860.92358492,18997525.48858965,34931860.923584916,12517160.762632646 
 08/12  16:00:00,,,34519385.87997357,19373512.57745981,34519385.87997356,11851090.433796026 
 08/12  17:00:00,,,34901185.6508245,19770465.657027278,34901185.6508245,11828868.830094533 
 08/12  18:00:00,,,34061429.25034859,19519807.5977805,34061429.25034859,11240388.392129384 
 08/12  19:00:00,,,33616568.97974873,19269149.53853372,33616568.97974873,10648696.35908976 
 08/12  20:00:00,,,35691598.90437501,20562885.42989166,35691598.90437502,8977222.167860106 
 08/12  21:00:00,,,35097885.498660475,20855821.832743157,35097885.498660475,5844095.467660242 
 08/12  22:00:00,,,30610184.093714967,17212042.09661141,30610184.09371496,5386307.450210527 
 08/12  23:00:00,,,32666165.79482633,18891396.855539024,32666165.794826325,5365015.687793901 
 08/12  24:00:00,,,26136304.36313545,14635816.41873014,26136304.36313545,5299162.90654605 
 08/13  01:00:00,,,21172542.789584916,13585617.517379161,21172542.789584916,2405650.80400733 
 08/13  02:00:00,,,20866543.7658898,13591712.666568777,20866543.7658898,2061929.2967247476 
 08/13  03:00:00,,,21706553.001560133,13466865.855553377,21706553.00156013,2975816.576517791 
 08/13  04:00:00,,,21501359.399302017,13841406.288599579,21501359.399302013,2037968.6970535475 
 08/13  05:00:00,,,25998177.981786955,14715333.96570738,25998177.981786955,5943478.725536116 
 08/13  06:00:00,,,24645497.269561183,15772607.413914438,24645497.269561183,5730541.359600132 
 08/13  07:00:00,,,24812381.602948602,16010102.42615256,24812381.602948602,5761888.765563366 
 08/13  08:00:00,,,25815097.077995226,17179995.67415766,25815097.077995226,5471823.773774696 
 08/13  09:00:00,,,26090581.790406708,17555982.763027824,26090581.7904067,5209099.9411157295 
