Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,9455468633.098818,198869964.55629134,3367392647.0890675,165339257.85772666,4098811332.986423,119350785.33473875,4183049836.069938,116708093.85656102,4307039967.609277,108066676.27854729,8221019846.481923,157345688.10576415,4347819909.182832,90907674.17295632,4384858714.996246,90742719.12982662,4722753873.907442,61875747.67710224,8431145500.046017,2648263.0089386096,68542671549.28341,227648591400.62845 
February,9415529535.44454,119140494.23863798,3358160545.139586,111744335.06085204,4054821549.447396,86115356.25112636,4140316174.5384326,76186477.42537174,4246494648.4375463,59179527.76871859,8070692029.700689,98147860.43759409,4291190662.500026,56486210.033096045,4326710170.484601,62584419.924106374,4667999941.284701,42987594.77410358,8204223873.144403,21133.314299669106,61685164460.36255,225207718238.66125 
March,5596660604.278248,1774191569.659167,1741247021.9380276,896322395.2298666,2137574497.2537844,800105124.6292291,2230800280.8718424,773404911.5413716,2342486997.291166,729507737.9406718,4467476996.256031,1395542955.2230484,2362706933.2008634,708060337.2288814,2411650556.1475067,693353192.5534511,2673305656.450021,613656311.1357795,5484616072.054174,351303001.2381206,66902719853.976845,147668235467.8547 
April,2042626772.1152093,3307143321.0448923,399501265.9137516,1509816825.8338816,622240131.1350701,1373633602.367699,707501561.9461792,1321524082.3085241,768282297.1672093,1269003441.2912562,1479507279.5758202,2404842458.879068,807324498.4220743,1215740352.4778304,817144170.6446228,1183890301.9894094,977418595.5742524,1063996286.2475756,2512592614.0528255,676773582.1073465,62094176993.15149,70093209880.37154 
May,207143798.72513148,6426134121.972227,27522345.597484063,2995758709.434212,38655658.12972998,2722835339.0353603,55119330.10343806,2630171826.672228,62200362.45148802,2554967758.776339,120294880.8295069,4686966737.764252,66320590.58585186,2387883679.1851516,71397994.9306606,2320177264.1145244,99394511.09654817,2117766750.0305514,458625059.35714126,1747871712.174509,65972914439.944824,10209293073.189337 
June,31494208.11507173,8973659929.024147,13451968.56459691,4673199854.530206,12517018.741091946,3961112307.6448946,12615768.79324313,3901416322.293403,13678762.300711878,3826672182.240648,26403702.27119601,7122565896.987689,14510917.940263892,3691351462.896937,15084338.776145812,3607177096.0904455,17178103.630214166,3387106640.71708,23091848.055478234,3108758996.347903,72510329443.31494,0.0 
July,13000116.009479979,11986364329.384361,5763680.511083126,6213694293.718274,4788893.662369193,5158499281.239251,5233118.954469826,5092066584.926161,6177359.600508595,4999961576.331516,10575118.628118785,9429674343.989655,5554036.826847173,4898847063.653156,5414103.954522541,4844840023.56658,7506827.567361293,4669935237.955994,12620981.93222387,4570423449.09205,85469523460.60744,0.0 
August,18985308.62258535,11169253879.913324,6005797.821107984,5810909345.492839,4657709.790786649,4878937617.094952,4967293.882639615,4831343707.418126,5666403.665598275,4760637307.142688,11000968.72887101,8960362566.249992,6351843.471290298,4630918596.692425,6417303.957917247,4588378309.226923,10637711.029741513,4416905407.75529,17229150.25536256,4321701294.99785,81521085030.5086,0.0 
September,37982807.92254178,9107279996.690266,17411984.209740125,4295076371.469036,15874874.311133377,3766085371.5139003,15889746.554005006,3681000599.9422264,16931014.575872708,3628330959.2625785,32465929.354646005,6705502668.347295,17612630.193040352,3449030244.470563,17810546.07293634,3407067407.2189293,19005434.262801874,3264183907.1156445,49297664.9193913,3052381835.899274,69599710066.72601,1399728384.0573952 
October,443724881.37186664,6336676511.472169,66543515.79169163,2807573164.7721996,124897517.42535245,2592395163.3855085,154277251.763235,2488912141.1733456,170399525.25927895,2410711042.452902,332468560.4910771,4466314249.568312,175935111.23579976,2277888372.9344344,185977463.61240873,2229780176.707296,236212672.9032574,2076356710.279695,755884944.3059627,1740103546.776681,66091675024.13317,29174317608.823166 
November,3009469318.563725,2019247196.8772123,909102825.7707622,905936703.1280204,1255284221.726475,760841309.6667253,1379471595.47318,710994811.1858615,1458171504.051785,665578099.8618624,2762520220.239695,1223183729.5080812,1480348456.4092994,628445380.4722403,1503675954.347282,604985502.3157209,1672616369.7625568,542007687.6520078,3358076147.210959,310186342.6363395,64596516418.82882,112838521379.78906 
