Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,19054973369.814377,9661586.52127113,3794081.4267046503,19681507829.206142,0.0,0.0,21344104983.957188,156048560196.51468 
February,18719027405.391026,15926899.390801625,4009548.568286794,17442995861.378136,0.0,0.0,19205458591.00753,152844846608.97528 
March,13126779928.949053,106256404.774672,1074116.356060207,19956238820.635597,0.0,0.0,20669798187.36068,124569559994.85445 
April,7249044542.132228,209492628.11469308,45074.13669654641,20020695013.79941,0.0,0.0,19682814605.787712,91204358273.45923 
May,2034406987.3481057,1116936820.4208684,0.0,21287443602.374794,0.0,0.0,21482101718.124687,69072023880.46466 
June,137236922.77132732,2364670347.2113314,0.0,21752081155.928474,0.0,0.0,23704537230.66304,58128183738.24058 
July,1058177.5649494594,4032916690.115109,0.0,23516088284.30081,0.0,0.0,28487960426.892906,57711523343.11107 
August,5794112.041476499,3479373921.898771,0.0,23432194370.486572,0.0,0.0,26450998512.162483,57562370384.3698 
September,730817184.4882169,2278926120.3788786,0.0,22223071768.553875,0.0,0.0,22914599460.540257,60067901119.17031 
October,3930842197.9529076,814865620.8458079,0.0,22521914202.35617,0.0,0.0,21356409440.557384,76623866095.1988 
November,10146009875.748075,77542453.66732788,841515.9643318733,21152663800.813335,0.0,0.0,20312777484.691837,103505457754.09137 
December,16979449685.828365,27498836.46907179,3254141.796552368,20450055291.484875,0.0,0.0,21334138027.083736,143892969521.46423 
