Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,417884346.3913558,3684518328.651432,0.0,19645845204.8115,0.0,0.0,23111639702.62972,63939911776.68165 
February,150348898.38775006,3590532405.564771,0.0,17729674552.611626,0.0,0.0,21191032694.219063,56661639897.48046 
March,126142306.74776343,3751773122.344358,0.0,19359668843.713512,0.0,0.0,24099383891.87886,62324257010.40202 
April,8706216.524934432,5212337384.277555,0.0,19117573627.874504,0.0,0.0,26638278610.329697,58427936972.78536 
May,3086916.6394964065,6062818428.114876,0.0,19841482550.82122,0.0,0.0,32952933520.841393,59299228625.26788 
June,9409773.014286056,7544387795.223739,0.0,19772597473.620358,0.0,0.0,34764615040.081856,56449378382.05767 
July,2208448.8592080357,8792670893.399155,0.0,20603151554.962902,0.0,0.0,39458636807.48141,57538894033.61087 
August,1509785.542202756,9266778500.61944,0.0,21196338550.688915,0.0,0.0,39255935542.704094,57309214417.38219 
September,2318253.0239550928,8443240953.294872,0.0,20614947078.500652,0.0,0.0,36960294144.00541,55677337368.09745 
October,5647608.811932711,7639299159.599165,0.0,21414396729.88264,0.0,0.0,33483254297.9531,58265946692.265274 
November,5628166.735565124,5849480857.817798,0.0,20287252987.95574,0.0,0.0,26684302620.540714,57407932482.543655 
December,14677115.54410497,4036548676.6771927,0.0,20125783002.2233,0.0,0.0,22747593121.08018,60843880282.70008 
