Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,319026432.74788105,3249497986.3400183,0.0,23252135139.565933,0.0,0.0,28375231434.787136,62975460606.857376 
February,105060966.99367732,3171318086.2666135,0.0,20937957991.87516,0.0,0.0,25861110347.035156,56102650571.331795 
March,80935332.83345866,3228681004.165456,0.0,22960127898.973217,0.0,0.0,29176279127.57889,61792557034.16172 
April,3785506.959975078,4534634049.366687,0.0,22701585708.10611,0.0,0.0,31140761683.69069,58351543368.48339 
May,1594321.082966197,5354553492.597109,0.0,23536495315.598267,0.0,0.0,36800256128.19585,59288719597.01513 
June,1544009.539990339,6842436902.425587,0.0,23353614392.502056,0.0,0.0,38014567561.72136,56430109769.91399 
July,1208257.1916735936,8119720769.910958,0.0,24200245372.79795,0.0,0.0,41800354433.74418,57521252482.37357 
August,2332461.5072005945,8598161005.978529,0.0,24793474603.80776,0.0,0.0,41754026116.320305,57294567467.192085 
September,1564852.561630646,7816064504.429502,0.0,24164924717.648205,0.0,0.0,39777647232.02158,55660813247.62834 
October,867733.1581790168,6967448401.475688,0.0,25138625467.160675,0.0,0.0,37367288383.39626,58255381450.408516 
November,1897802.971676284,5214524321.655077,0.0,23864082569.297066,0.0,0.0,31243680867.699093,57344093028.05125 
December,2951996.469599913,3590710944.6298294,0.0,23730916599.585556,0.0,0.0,27995282632.493755,60470040773.21775 
