Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17619971107.797173,8909254.93754415,2963409.0072264024,20031834429.373684,0.0,0.0,20960648655.10676,164416555939.25595 
February,17538308979.8847,78759858.20477125,2793516.5834605396,17792844684.953766,0.0,0.0,18881734139.217335,161356512627.76315 
March,11771870966.084183,153432765.12551254,1831082.735098522,20368288617.158318,0.0,0.0,20186848475.386738,128840354758.02466 
April,6139520208.19757,333172506.43230146,1337982.8437322793,20446325836.139496,0.0,0.0,19162064301.631348,92555415707.06087 
May,1497448563.8160548,1628422137.6347876,0.0,21803144622.472523,0.0,0.0,21261641000.027855,68765188452.85982 
June,60818304.068149164,3265693798.2763815,0.0,22199634370.580578,0.0,0.0,24307299618.18347,57881491232.77375 
July,18819.760592585044,5325705972.77706,0.0,23873217945.008316,0.0,0.0,30189419992.898254,57703136809.14197 
August,3043179.6998504302,4580168593.382254,0.0,23871281889.64518,0.0,0.0,27578533441.057465,57491504041.49195 
September,491851968.78669524,3014077897.175485,0.0,22692316682.772392,0.0,0.0,23143567494.075626,59635013437.41588 
October,3133453527.409968,1166866449.7265475,483230.8565337409,23037243127.03026,0.0,0.0,20960818165.62781,76854377292.57814 
November,8901604293.880285,126777086.92132011,2103268.3428744413,21531622957.865707,0.0,0.0,19814583375.139137,106051297917.38724 
December,15585454978.893877,50354687.469391875,2879178.0219766963,20794348872.86162,0.0,0.0,20910994122.622456,150531068459.0866 
