Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16926566621.577105,281397936.0139234,2292528.478048018,16100898202.353727,0.0,0.0,17621403551.211353,169265209090.28796 
February,16031882640.721935,271828989.404385,4824472.514880311,14129780219.767385,0.0,0.0,15817099008.750092,163007351987.62277 
March,11618583658.404081,372152818.5577189,2618106.266036804,16665296815.333536,0.0,0.0,16736384894.126797,136688702186.77032 
April,6368853435.780431,519137092.12598884,1448220.9375617392,17010366319.63747,0.0,0.0,15594499703.126041,99797503647.45714 
May,1753483855.3192084,2044103414.3268566,317403.6268655084,18371836230.997128,0.0,0.0,17015316885.554993,72798670258.31116 
June,138771905.28312844,3715371829.4406185,0.0,18824041985.846455,0.0,0.0,19591165968.339165,59075099122.903366 
July,2105410.8161918954,5829879499.22683,0.0,20226183753.23428,0.0,0.0,25095946795.125446,57867271154.39662 
August,9097288.031852802,5254733443.343479,0.0,20237633832.13114,0.0,0.0,22477207669.06778,57880009293.09429 
September,718856714.869268,3381651905.6437783,11318.492202829291,19380935981.982376,0.0,0.0,18595484321.674458,62088067634.31829 
October,3685836028.397055,1430093914.0942242,1561574.5607384075,19521890719.06649,0.0,0.0,17090189598.85395,82732802623.8078 
November,9627786086.12681,182998300.6004972,2569839.7192715397,17863385996.89034,0.0,0.0,16482059543.439543,114683083095.32027 
December,15397770089.90954,241351535.40208074,1730849.7976019615,16897945145.751953,0.0,0.0,17592367998.656322,157120787229.79446 
