Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17377582027.971317,7608728.320353861,4658376.798649467,16425585394.15824,0.0,0.0,17934158347.259907,151428242750.09448 
February,17284273099.677044,52315035.311198086,5215813.143066087,14524021566.657103,0.0,0.0,16122784901.956232,148755385019.82257 
March,11515141778.581903,144638703.01568255,1154740.444706586,16684390023.844566,0.0,0.0,17194876272.989864,119611346757.287 
April,5908475562.476818,313531865.9252825,176323.01963303267,16858471230.295538,0.0,0.0,16310074836.249634,86679745987.0894 
May,1337987422.867207,1410772636.2832496,0.0,18107830405.578182,0.0,0.0,18432348646.081345,66304184190.56365 
June,29947094.1773125,2846957081.1581926,0.0,18696128712.62569,0.0,0.0,21749061823.327255,57195478993.30831 
July,267443.121476019,4743189357.960049,0.0,20286134621.9569,0.0,0.0,27834459862.58693,57602378995.63773 
August,159041.18486157167,4013018886.4150987,0.0,20267692454.933426,0.0,0.0,25100661957.91337,57377793233.21157 
September,425255064.90941817,2741574503.7991195,0.0,19150989993.171055,0.0,0.0,20565594382.65652,58389953745.393166 
October,2956015062.0625734,1101653113.226919,125479.01892178794,19299523820.971275,0.0,0.0,18143673871.51327,72961199655.31334 
November,8711368001.6398,120062562.69591628,402839.0997056564,17980783338.0588,0.0,0.0,17024977658.892748,98650070417.5697 
December,15376205809.07261,54719701.258284144,2885257.4928996656,17168322403.281008,0.0,0.0,17945022369.385216,139086377371.70117 
