Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/03  20:00:00,,,32046165.53690087,16789502.72071286,32046165.536900867,7532806.12369409 
 01/03  21:00:00,,,31900306.672068633,16639434.698498324,31900306.672068633,7537441.264838262 
 01/03  22:00:00,,,31369021.85154478,16489366.676283786,31369021.85154478,7266504.67053754 
 01/03  23:00:00,,,27248802.173571642,12598773.064778566,27248802.173571642,7067698.412178779 
 01/03  24:00:00,,,29253900.01870326,14230163.41379362,29253900.018703256,6953547.52988621 
 01/04  01:00:00,,,21964465.890012603,9382130.04470057,21964465.8900126,6718580.897421102 
 01/04  02:00:00,,,14322332.315823052,8494172.147170749,14322332.315823052,883486.6585536248 
 01/04  03:00:00,,,14387036.202915814,8406448.159530781,14387036.202915814,920531.120089006 
 01/04  04:00:00,,,15052085.232996497,8331702.850861384,15052085.232996494,1632267.0761702077 
 01/04  05:00:00,,,17176219.301093865,8555938.776869582,17176219.301093865,3127785.213792981 
 01/04  06:00:00,,,22268476.16164317,10185777.656172892,22268476.161643166,6976939.405210711 
 01/04  07:00:00,,,27218870.80564579,12095087.231322683,27218870.80564579,7211901.037681663 
 01/04  08:00:00,,,26773999.30436829,12070397.233200165,26773999.304368287,7737942.31872758 
 01/04  09:00:00,,,22778198.928562928,12276804.714681553,22778198.928562928,7637066.994265147 
 01/04  10:00:00,,,22744454.164999872,12501906.748003354,22744454.164999872,7362004.469614712 
 01/04  11:00:00,,,24081455.941770703,14388042.757655855,24081455.941770703,6804973.672446953 
 01/04  12:00:00,,,28415893.95686888,18302382.962406233,28415893.956868872,6884996.056714284 
 01/04  13:00:00,,,25050001.039960366,14463076.768763129,25050001.03996036,7198857.160013628 
 01/04  14:00:00,,,24214124.78927891,14313008.746548591,24214124.789278906,6995428.392603307 
 01/04  15:00:00,,,23751317.246419564,14162940.724334054,23751317.246419564,6667350.538978873 
 01/04  16:00:00,,,23666884.493020635,14162940.724334054,23666884.493020635,6591658.021444104 
 01/04  17:00:00,,,27000620.492136385,15771221.693130115,27000620.49213638,6787812.839808336 
 01/04  18:00:00,,,31872832.20174461,17089638.76514193,31872832.201744605,7051531.712020589 
 01/04  19:00:00,,,32089230.870200235,16939570.7429274,32089230.87020023,7426215.037623553 
 01/04  20:00:00,,,32330623.825571246,16789502.72071286,32330623.825571243,7453807.984993611 
 01/04  21:00:00,,,32138528.99311344,16639434.698498324,32138528.993113436,7435280.624512242 
 01/04  22:00:00,,,31477007.8335466,16489366.676283786,31477007.8335466,7112413.19671401 
 01/04  23:00:00,,,27082317.121931665,12598773.064778566,27082317.121931657,6901078.566648994 
 01/04  24:00:00,,,29098472.54653468,14230163.41379362,29098472.54653468,6798120.057717629 
 01/05  01:00:00,,,21828591.757215958,9382130.04470057,21828591.757215958,6582358.914334171 
 01/05  02:00:00,,,14050797.015418231,8494172.147170749,14050797.01541823,617401.5705707895 
 01/05  03:00:00,,,13989387.646158995,8406448.159530781,13989387.646158995,542261.3262130922 
 01/05  04:00:00,,,14057671.235573016,8331702.850861384,14057671.235573016,665808.8630702073 
 01/05  05:00:00,,,14983879.359528698,8555938.776869582,14983879.359528698,928471.6646114914 
 01/05  06:00:00,,,21851720.489144824,10185777.656172892,21851720.489144824,6559672.159360103 
 01/05  07:00:00,,,26747326.884203713,12095087.231322683,26747326.884203702,6739935.524139194 
 01/05  08:00:00,,,26167255.575989768,12114266.938326122,26167255.575989768,7086401.986431074 
 01/05  09:00:00,,,22215988.40749141,12320564.460174184,22215988.40749141,7030174.195705135 
 01/05  10:00:00,,,22330987.653499197,12501906.748003354,22330987.6534992,6946603.5784960035 
 01/05  11:00:00,,,23827848.434026785,14388042.757655855,23827848.43402678,6545265.656743705 
 01/05  12:00:00,,,28138882.672515787,18302382.962406233,28138882.672515783,6594817.57358481 
 01/05  13:00:00,,,24658161.917178594,14463076.768763129,24658161.917178594,6789254.682328593 
 01/05  14:00:00,,,23876678.922597047,14313008.746548591,23876678.922597047,6649358.05304802 
 01/05  15:00:00,,,23485787.004409935,14162940.724334054,23485787.00440993,6400816.412361163 
 01/05  16:00:00,,,23425864.34604202,14162940.724334054,23425864.346042022,6351625.724850925 
 01/05  17:00:00,,,26358751.324897934,15338877.4792001,26358751.324897934,6580688.960080609 
 01/05  18:00:00,,,31737935.323295042,17089638.76514193,31737935.323295042,6915108.3018925935 
 01/05  19:00:00,,,32039493.601241212,16939570.7429274,32039493.60124121,7370683.912566381 
 01/05  20:00:00,,,32351144.629791714,16789502.72071286,32351144.629791714,7470742.894601294 
 01/05  21:00:00,,,32110504.183498196,16639434.698498324,32110504.183498196,7407097.1831589015 
 01/05  22:00:00,,,31497313.610275242,16489366.676283786,31497313.610275242,7132814.9925829265 
 01/05  23:00:00,,,27226190.938377388,12598773.064778566,27226190.938377384,7044984.303349569 
 01/05  24:00:00,,,29338858.411354024,14230163.41379362,29338858.411354024,7038505.922536973 
