Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18176430133.15379,5784887.785549982,7849205.917767081,17601326356.474422,0.0,0.0,20037389838.269913,174694740611.78122 
February,17957893129.04378,5625711.791473487,9253337.7077306,15616837572.88407,0.0,0.0,17984361197.61751,171113241768.8784 
March,12443592928.609367,143658170.3009119,2473765.872660703,18023180511.207645,0.0,0.0,19291517298.857136,138197498552.64063 
April,6939729069.226114,279053849.3530578,126312.8512018781,18262591544.563904,0.0,0.0,18342859645.19042,99988405243.7123 
May,2084628530.6600137,1421503507.0818589,51755.1847395012,19803374515.91601,0.0,0.0,20932818294.635323,72924843681.62451 
June,208646812.01940763,2986503283.911535,0.0,20260982408.033478,0.0,0.0,24995265934.36739,59183995935.98803 
July,10669318.868814139,5102446944.587645,0.0,21816298161.28513,0.0,0.0,32343679844.472397,57921132036.93334 
August,17117969.60101923,4429702903.043547,0.0,21837341495.986214,0.0,0.0,28975914510.347935,57934203719.64546 
September,807014129.416365,2722306381.2842054,0.0,20779901608.410496,0.0,0.0,23466273894.770824,62128045467.43065 
October,3860722402.7689877,1052676930.062518,0.0,20897206936.524017,0.0,0.0,20494185809.43241,82805253758.82411 
November,9695669221.601202,109070620.17953439,1051145.3388326808,19247902373.665707,0.0,0.0,19102825396.696888,115102097807.41603 
December,16228136947.059689,41231185.61857878,5185977.8498047795,18394493845.120758,0.0,0.0,20047120479.752083,160774237977.5004 
