Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16827790409.773916,397918065.9307947,3540106.6852904623,30270244988.863846,0.0,0.0,35811264356.07618,171915311657.98303 
February,16258206053.145529,393784090.8565977,3513114.731139567,26965684345.43367,0.0,0.0,32266864378.52457,166331674345.71326 
March,11664217502.035686,383806336.9029229,3222197.514064355,30619082141.190083,0.0,0.0,34964739034.369415,136437571508.98166 
April,6287443733.9234,448637470.2539102,277599.94852235226,30277383287.9587,0.0,0.0,33528135827.742203,97063256638.21246 
May,1699773523.4808078,1812983762.8282535,0.0,32038609726.486507,0.0,0.0,37119928299.52201,70072086297.08963 
June,130060243.388047,3585609346.034325,0.0,32306771873.735058,0.0,0.0,41764789283.92372,58408051621.664795 
July,4458281.954112872,5900113897.505557,0.0,34235153255.73739,0.0,0.0,49961437762.21924,57790584860.5256 
August,7280855.093715057,5119590851.294183,0.0,34332056633.20119,0.0,0.0,46819088255.79054,57682225572.082535 
September,627494088.8732991,3270980317.4474206,0.0,32724108600.459705,0.0,0.0,40096579090.36292,60567604244.98016 
October,3368563595.3640943,1372383501.4266,0.0,33186159730.807106,0.0,0.0,36418986487.07624,79071006231.83066 
November,8950492678.236814,219782429.92060378,904022.954521203,31332179262.603653,0.0,0.0,34150220898.61268,111707508776.68427 
December,15050876711.55013,382984345.6698167,3389968.684845605,30994745684.0081,0.0,0.0,35765381431.93651,158278770987.80295 
