Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18978851889.46952,8546914.774033157,5302802.223368641,13546393978.468506,0.0,0.0,14174778169.206917,164630102733.904 
February,18648703818.63131,50178413.15972239,5809936.730904077,11905459867.004396,0.0,0.0,12745105427.122213,160791101033.51105 
March,13193639427.658112,86391076.08835526,4421381.183348133,13941488007.848211,0.0,0.0,13412696238.095097,131382801987.10507 
April,7427304358.574351,161492108.3331167,1018091.622921405,14315778512.559475,0.0,0.0,12534076711.607082,96087898210.01709 
May,2240776892.6827765,991219079.2411807,131441.9883561784,15560930935.707417,0.0,0.0,13744829357.453184,71203451133.30023 
June,183251092.2690543,2229652260.591428,0.0,16192847283.14194,0.0,0.0,15842776201.85487,58477405071.28527 
July,4586104.789272267,4026041373.594145,0.0,17641169266.08849,0.0,0.0,20253688339.788338,57769511727.92556 
August,9310777.44930796,3406562183.407603,0.0,17590745829.198483,0.0,0.0,18144373077.755047,57650953102.09098 
September,834400212.4660634,2100063077.4648218,0.0,16747610717.521885,0.0,0.0,15082810219.171793,60909643681.935104 
October,4136427326.3829465,706363002.9402581,234788.36702484824,16781194257.741913,0.0,0.0,13843510676.596052,80095290104.18848 
November,10260820077.028366,57925679.32784646,2376543.430302535,15288088300.0408,0.0,0.0,13291855688.172066,109475626208.96225 
December,16949921922.301722,21404905.600423526,7305663.10030818,14337431590.385538,0.0,0.0,14143778779.88311,151551379940.4465 
