Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,19763806490.715797,9311476.697832046,4670524.4043590585,16061590512.55547,0.0,0.0,17316922914.26385,163372503769.48065 
February,19281399843.41687,12333332.278163362,3948582.6158905854,14166858974.631952,0.0,0.0,15563469378.764286,159372896400.9708 
March,13978306431.738295,68781303.61503856,3375764.1966202236,16434516833.134083,0.0,0.0,16639248128.801,131280936100.61562 
April,8104583272.384414,126286630.49941427,712308.4379117083,16757326082.091478,0.0,0.0,15735296422.354176,96532431180.15437 
May,2658082576.409261,845101222.0934672,30954.84627335711,18067670172.769608,0.0,0.0,17122368774.034046,71786303568.50021 
June,287778975.67862016,1921979381.7317128,0.0,18529096360.20216,0.0,0.0,19132620775.16916,58857042624.5576 
July,10799607.585836375,3563695897.3573184,0.0,20082734137.313602,0.0,0.0,23629510578.579422,57840860840.69175 
August,22120064.62554181,3016322457.8893533,0.0,20003006518.36994,0.0,0.0,21558216082.695015,57845454261.25972 
September,1050070810.1888282,1824989005.0332577,26268.186840845494,19108613500.87376,0.0,0.0,18399530383.045895,61538181032.776634 
October,4677999439.077209,587711934.8671914,110323.40483471465,19268225473.90441,0.0,0.0,17123076305.212637,80650535297.48619 
November,10982415895.88307,43988988.4415848,3188160.2891093222,17772488032.115856,0.0,0.0,16404286719.54044,109718890972.95613 
December,17717506442.847527,15939605.235418905,3317400.1885050596,16883235414.95254,0.0,0.0,17309831262.28781,150924430333.94666 
