Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17653023653.289856,8558307.912181664,3498557.9460099507,19276440972.47865,0.0,0.0,19993744321.974194,162836806736.81458 
February,17556976714.21209,74574278.75707783,2436996.9768256736,17106439525.49211,0.0,0.0,18006971650.124126,159766650090.61786 
March,11804611773.896053,149485354.24837363,2862889.4387445445,19604120632.839256,0.0,0.0,19220024073.531574,127951524910.61908 
April,6172241946.037605,324752864.8811537,674262.2708866459,19712923812.22261,0.0,0.0,18207687635.88839,92230650248.32106 
May,1511214893.6694639,1587882853.375547,0.0,21026743526.285793,0.0,0.0,20077167900.692326,68777386305.6582 
June,61427656.940688685,3190001855.4666567,0.0,21441810254.355396,0.0,0.0,22770778917.785248,57885904636.677246 
July,755916.0779944119,5195440767.60964,0.0,23075402061.044605,0.0,0.0,28127887145.80303,57701214938.58453 
August,2504771.860053579,4478876558.629422,0.0,23069078174.114902,0.0,0.0,25760120174.225327,57490853361.68991 
September,499630774.7034069,2958427986.294573,0.0,21930903833.381573,0.0,0.0,21759969898.88853,59653446238.87734 
October,3160781440.2949557,1141830453.9808438,243968.8347136718,22264922653.60169,0.0,0.0,19885022254.346813,76781829152.4309 
November,8942162279.180223,119785185.3245109,2202853.1033760505,20801430222.53551,0.0,0.0,18884773927.820217,105514427964.37297 
December,15617514893.95139,46634221.319861926,3696555.385926416,20049619730.863388,0.0,0.0,19947899839.244724,149177553451.45914 
