Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,7640266402.274406,1142360673.59384,2457351087.5691237,573125025.6216613,3301539970.6684103,457678749.1996893,3447433032.566221,439372398.7309147,3558356998.718126,406693230.77558947,6825179226.274611,722263333.636141,3654842904.1010013,369796600.8098366,3688157694.354253,354252680.11713916,4015726584.537143,288606527.0603854,7678219600.6205015,37805643.24749817,86615097332.11792,102608479426.20332 
February,7619192076.388579,860576506.0741835,2523666775.2057934,441576747.1211771,3266696148.6914845,348439255.90135324,3390120164.4469085,335029869.8473762,3518930459.5158362,308286310.8183479,6809987245.517263,547826159.6332201,3604852879.3584256,273960142.41163707,3667318511.3158984,268499420.325552,3998541447.6249895,210681334.52204773,7528550605.135105,11957392.934607888,78008863404.20439,103139606042.53621 
March,4286479446.6551123,2509471668.84064,1146695285.6878798,1194590507.8818648,1621711268.9069574,1043892004.0317341,1741742655.3708355,1006630100.4071908,1823849104.8753188,965986456.1237109,3516917579.376841,1802347168.2066784,1880809101.002541,885447425.5902685,1928731389.8340514,865577863.3642131,2207450326.026785,771830708.6839526,4889534728.669924,388852554.4497866,85362177578.75246,56690436194.973816 
April,898939936.7679174,4077503947.5119677,89218040.49914312,2004695960.622319,170856325.0959166,1629901969.8043065,241924003.16149443,1561867365.3705041,281785992.86629784,1499819671.810746,605948790.6455503,2832694174.8251915,330142808.13800246,1361891594.4756274,353309931.08339405,1316577278.9872048,482899958.5509195,1184672766.7799454,1892736977.752946,764743360.0872145,79837969510.41039,12534656849.917822 
May,52026649.634228095,7268941315.331942,26742268.519059457,4185458834.16949,25574487.538761027,3177127669.0456305,25654879.261758722,3090912550.1454606,26033953.551114276,2999090649.3031154,50171748.6864379,5564843017.722126,27245689.41597621,2786369210.916247,27174616.49540191,2671761182.833226,28290562.781901732,2362494893.1244974,172100541.6943151,1813875019.7554934,86487708690.07117,204483352.083716 
June,27522344.162112255,11173569499.884195,9109806.710853463,6149493194.329932,8890746.195562439,4917911048.018616,9946276.219167557,4848918819.758719,11211694.127139715,4757742839.5023985,22772778.573780756,8922807434.29974,13127681.915595915,4579202102.564293,13512589.691728203,4500124015.040109,16236885.132182611,4228746193.7857027,23475591.450594828,3680628500.1760054,94224750096.44116,0.0 
July,13054512.111047348,14671390320.430832,6497858.796187412,7672118180.400486,3933615.1790060746,6227955096.702276,4203274.694069911,6135639172.049124,4770455.664736943,6055576733.983224,8851075.83641291,11375920320.480307,5006310.525452858,5864406067.74971,4990389.699306423,5813902332.769115,7244378.545073732,5613661348.99787,13314945.25937513,5334344127.784802,107085666996.18542,0.0 
August,12820212.169417733,13770354286.281744,6611069.637790838,7277948257.9262705,4444707.8976937095,5961859776.390979,4687418.229200758,5873499511.428371,5167048.603326191,5781506039.237088,11003622.54366761,10897732520.702394,6412415.232142676,5607274702.539432,6018106.497696564,5544193886.057185,8966951.05474069,5369500168.002059,17776451.09262705,5074168274.239016,104362345920.24954,0.0 
September,30749414.20460035,10286740586.2477,12238393.285209151,5589144426.008628,11069176.660857044,4306885658.212101,11698620.05494942,4228826249.7578325,12766394.302326199,4139386002.4217353,27390448.892473776,7756419742.0602,14799762.614435224,3957773036.019007,15479709.327229453,3878771722.4425225,18132500.637883067,3665896106.1443167,26503886.440720446,3242731601.646372,90673732057.8818,0.0 
October,124404573.22342278,6760604659.036165,26396422.66405781,3521286183.132711,30350288.039483245,2697123599.6791954,47221744.535681285,2625362508.8148127,57777352.29735953,2558474776.8513575,125859548.0866638,4732425344.787339,67911526.43644771,2352959904.408365,72777317.98770651,2282067876.757912,97313715.33216597,2105103537.7844698,395736615.5304783,1727134204.197793,85821242540.09462,1591929237.2181776 
